区域ID	区域名称	区域类型
2081	瓦房店市	3
2082	普兰店市	3
2083	庄河市	3
2084	长海县	3
2085	铁东区	3
2086	铁西区	3
2087	立山区	3
2088	千山区	3
2089	岫岩	3
2090	海城市	3
2091	台安县	3
2092	本溪	3
2093	平山区	3
2094	明山区	3
2095	溪湖区	3
2096	南芬区	3
2097	桓仁	3
2098	双塔区	3
2099	龙城区	3
2100	喀喇沁左翼蒙古族自治县	3
2101	北票市	3
2102	凌源市	3
2103	朝阳县	3
2104	建平县	3
2105	振兴区	3
2106	元宝区	3
2107	振安区	3
2108	宽甸	3
2109	东港市	3
2110	凤城市	3
2111	顺城区	3
2112	新抚区	3
2113	东洲区	3
2114	望花区	3
2115	清原	3
2116	新宾	3
2117	抚顺县	3
2118	阜新	3
2119	海州区	3
2120	新邱区	3
2121	太平区	3
2122	清河门区	3
2123	细河区	3
2124	彰武县	3
2125	龙港区	3
2126	南票区	3
2127	连山区	3
2128	兴城市	3
2129	绥中县	3
2130	建昌县	3
2131	太和区	3
2132	古塔区	3
2133	凌河区	3
2134	凌海市	3
2135	北镇市	3
2136	黑山县	3
2137	义县	3
2138	白塔区	3
2139	文圣区	3
2140	宏伟区	3
2141	太子河区	3
2142	弓长岭区	3
2143	灯塔市	3
2144	辽阳县	3
2145	双台子区	3
2146	兴隆台区	3
2147	大洼县	3
2148	盘山县	3
2149	银州区	3
2150	清河区	3
2151	调兵山市	3
2152	开原市	3
2153	铁岭县	3
2154	西丰县	3
2155	昌图县	3
2156	站前区	3
2157	西市区	3
2158	鲅鱼圈区	3
2159	老边区	3
2160	盖州市	3
2161	大石桥市	3
2162	回民区	3
2163	玉泉区	3
2164	新城区	3
2165	赛罕区	3
2166	清水河县	3
2167	土默特左旗	3
2168	托克托县	3
2169	和林格尔县	3
2170	武川县	3
2171	阿拉善左旗	3
2172	阿拉善右旗	3
2173	额济纳旗	3
2174	临河区	3
2175	五原县	3
2176	磴口县	3
2177	乌拉特前旗	3
2178	乌拉特中旗	3
2179	乌拉特后旗	3
2180	杭锦后旗	3
2181	昆都仑区	3
2182	青山区	3
2183	东河区	3
2184	九原区	3
2185	石拐区	3
2186	白云矿区	3
2187	土默特右旗	3
2188	固阳县	3
2189	达尔罕茂明安联合旗	3
2190	红山区	3
2191	元宝山区	3
2192	松山区	3
2193	阿鲁科尔沁旗	3
2194	巴林左旗	3
2195	巴林右旗	3
2196	林西县	3
2197	克什克腾旗	3
2198	翁牛特旗	3
2199	喀喇沁旗	3
2200	宁城县	3
2201	敖汉旗	3
2202	东胜区	3
2203	达拉特旗	3
2204	准格尔旗	3
2205	鄂托克前旗	3
2206	鄂托克旗	3
2207	杭锦旗	3
2208	乌审旗	3
2209	伊金霍洛旗	3
2210	海拉尔区	3
2211	莫力达瓦	3
2212	满洲里市	3
2213	牙克石市	3
2214	扎兰屯市	3
2215	额尔古纳市	3
2216	根河市	3
2217	阿荣旗	3
2218	鄂伦春自治旗	3
2219	鄂温克族自治旗	3
2220	陈巴尔虎旗	3
2221	新巴尔虎左旗	3
2222	新巴尔虎右旗	3
2223	科尔沁区	3
2224	霍林郭勒市	3
2225	科尔沁左翼中旗	3
2226	科尔沁左翼后旗	3
2227	开鲁县	3
2228	库伦旗	3
2229	奈曼旗	3
2230	扎鲁特旗	3
2231	海勃湾区	3
2232	乌达区	3
2233	海南区	3
2234	化德县	3
2235	集宁区	3
2236	丰镇市	3
2237	卓资县	3
2238	商都县	3
2239	兴和县	3
2240	凉城县	3
2241	察哈尔右翼前旗	3
2242	察哈尔右翼中旗	3
2243	察哈尔右翼后旗	3
2244	四子王旗	3
2245	二连浩特市	3
2246	锡林浩特市	3
2247	阿巴嘎旗	3
2248	苏尼特左旗	3
2249	苏尼特右旗	3
2250	东乌珠穆沁旗	3
2251	西乌珠穆沁旗	3
2252	太仆寺旗	3
2253	镶黄旗	3
2254	正镶白旗	3
2255	正蓝旗	3
2256	多伦县	3
2257	乌兰浩特市	3
2258	阿尔山市	3
2259	科尔沁右翼前旗	3
2260	科尔沁右翼中旗	3
2261	扎赉特旗	3
2262	突泉县	3
2263	西夏区	3
2264	金凤区	3
2265	兴庆区	3
2266	灵武市	3
2267	永宁县	3
2268	贺兰县	3
2269	原州区	3
2270	海原县	3
2271	西吉县	3
2272	隆德县	3
2273	泾源县	3
2274	彭阳县	3
2275	惠农县	3
2276	大武口区	3
2277	惠农区	3
2278	陶乐县	3
2279	平罗县	3
2280	利通区	3
2281	中卫县	3
2282	青铜峡市	3
2283	中宁县	3
2284	盐池县	3
2285	同心县	3
2286	沙坡头区	3
2287	海原县	3
2288	中宁县	3
2289	城中区	3
2290	城东区	3
2291	城西区	3
2292	城北区	3
2293	湟中县	3
2294	湟源县	3
2295	大通	3
2296	玛沁县	3
2297	班玛县	3
2298	甘德县	3
2299	达日县	3
2300	久治县	3
2301	玛多县	3
2302	海晏县	3
2303	祁连县	3
2304	刚察县	3
2305	门源	3
2306	平安县	3
2307	乐都县	3
2308	民和	3
2309	互助	3
2310	化隆	3
2311	循化	3
2312	共和县	3
2313	同德县	3
2314	贵德县	3
2315	兴海县	3
2316	贵南县	3
2317	德令哈市	3
2318	格尔木市	3
2319	乌兰县	3
2320	都兰县	3
2321	天峻县	3
2322	同仁县	3
2323	尖扎县	3
2324	泽库县	3
2325	河南蒙古族自治县	3
2326	玉树县	3
2327	杂多县	3
2328	称多县	3
2329	治多县	3
2330	囊谦县	3
2331	曲麻莱县	3
2332	市中区	3
2333	历下区	3
2334	天桥区	3
2335	槐荫区	3
2336	历城区	3
2337	长清区	3
2338	章丘市	3
2339	平阴县	3
2340	济阳县	3
2341	商河县	3
2342	市南区	3
2343	市北区	3
2344	城阳区	3
2345	四方区	3
2346	李沧区	3
2347	黄岛区	3
2348	崂山区	3
2349	胶州市	3
2350	即墨市	3
2351	平度市	3
2352	胶南市	3
2353	莱西市	3
2354	滨城区	3
2355	惠民县	3
2356	阳信县	3
2357	无棣县	3
2358	沾化县	3
2359	博兴县	3
2360	邹平县	3
2361	德城区	3
2362	陵县	3
2363	乐陵市	3
2364	禹城市	3
2365	宁津县	3
2366	庆云县	3
2367	临邑县	3
2368	齐河县	3
2369	平原县	3
2370	夏津县	3
2371	武城县	3
2372	东营区	3
2373	河口区	3
2374	垦利县	3
2375	利津县	3
2376	广饶县	3
2377	牡丹区	3
2378	曹县	3
2379	单县	3
2380	成武县	3
2381	巨野县	3
2382	郓城县	3
2383	鄄城县	3
2384	定陶县	3
2385	东明县	3
2386	市中区	3
2387	任城区	3
2388	曲阜市	3
2389	兖州市	3
2390	邹城市	3
2391	微山县	3
343	天津	2
344	拉萨	2
345	阿里	2
346	昌都	2
347	林芝	2
348	那曲	2
349	日喀则	2
350	山南	2
351	乌鲁木齐	2
352	阿克苏	2
353	阿拉尔	2
354	巴音郭楞	2
355	博尔塔拉	2
356	昌吉	2
357	哈密	2
358	和田	2
359	喀什	2
360	克拉玛依	2
361	克孜勒苏	2
362	石河子	2
363	图木舒克	2
364	吐鲁番	2
365	五家渠	2
366	伊犁	2
367	昆明	2
368	怒江	2
369	普洱	2
370	丽江	2
371	保山	2
372	楚雄	2
373	大理	2
374	德宏	2
375	迪庆	2
376	红河	2
377	临沧	2
378	曲靖	2
379	文山	2
380	西双版纳	2
381	玉溪	2
382	昭通	2
383	杭州	2
384	湖州	2
385	嘉兴	2
386	金华	2
387	丽水	2
388	宁波	2
389	绍兴	2
390	台州	2
391	温州	2
392	舟山	2
393	衢州	2
394	重庆	2
395	香港	2
396	澳门	2
397	台湾	2
398	迎江区	3
399	大观区	3
400	宜秀区	3
401	桐城市	3
402	怀宁县	3
403	枞阳县	3
404	潜山县	3
405	太湖县	3
406	宿松县	3
407	望江县	3
408	岳西县	3
409	中市区	3
410	东市区	3
411	西市区	3
412	郊区	3
413	怀远县	3
414	五河县	3
415	固镇县	3
416	居巢区	3
417	庐江县	3
418	无为县	3
419	含山县	3
420	和县	3
421	贵池区	3
422	东至县	3
423	石台县	3
424	青阳县	3
425	琅琊区	3
426	南谯区	3
427	天长市	3
428	明光市	3
429	来安县	3
430	全椒县	3
431	定远县	3
432	凤阳县	3
433	蚌山区	3
434	龙子湖区	3
435	禹会区	3
436	淮上区	3
437	颍州区	3
438	颍东区	3
439	颍泉区	3
440	界首市	3
441	临泉县	3
442	太和县	3
443	阜南县	3
444	颖上县	3
445	相山区	3
446	杜集区	3
447	烈山区	3
448	濉溪县	3
449	田家庵区	3
450	大通区	3
451	谢家集区	3
452	八公山区	3
453	潘集区	3
454	凤台县	3
455	屯溪区	3
456	黄山区	3
457	徽州区	3
458	歙县	3
459	休宁县	3
460	黟县	3
461	祁门县	3
462	金安区	3
463	裕安区	3
464	寿县	3
465	霍邱县	3
466	舒城县	3
467	金寨县	3
468	霍山县	3
469	雨山区	3
470	花山区	3
471	金家庄区	3
472	当涂县	3
473	埇桥区	3
474	砀山县	3
475	萧县	3
476	灵璧县	3
477	泗县	3
478	铜官山区	3
479	狮子山区	3
480	郊区	3
481	铜陵县	3
482	镜湖区	3
483	弋江区	3
484	鸠江区	3
485	三山区	3
486	芜湖县	3
487	繁昌县	3
488	南陵县	3
489	宣州区	3
490	宁国市	3
491	郎溪县	3
492	广德县	3
493	泾县	3
494	绩溪县	3
495	旌德县	3
496	涡阳县	3
497	蒙城县	3
498	利辛县	3
499	谯城区	3
500	东城区	3
501	西城区	3
502	海淀区	3
503	朝阳区	3
504	崇文区	3
505	宣武区	3
506	丰台区	3
507	石景山区	3
508	房山区	3
509	门头沟区	3
510	通州区	3
511	顺义区	3
512	昌平区	3
513	怀柔区	3
514	平谷区	3
515	大兴区	3
516	密云县	3
517	延庆县	3
518	鼓楼区	3
519	台江区	3
520	仓山区	3
521	马尾区	3
522	晋安区	3
523	福清市	3
524	长乐市	3
525	闽侯县	3
526	连江县	3
527	罗源县	3
528	闽清县	3
529	永泰县	3
530	平潭县	3
531	新罗区	3
532	漳平市	3
533	长汀县	3
534	永定县	3
535	上杭县	3
536	武平县	3
537	连城县	3
538	延平区	3
539	邵武市	3
540	武夷山市	3
541	建瓯市	3
542	建阳市	3
543	顺昌县	3
544	浦城县	3
545	光泽县	3
546	松溪县	3
547	政和县	3
548	蕉城区	3
549	福安市	3
550	福鼎市	3
551	霞浦县	3
552	古田县	3
553	屏南县	3
554	寿宁县	3
555	周宁县	3
556	柘荣县	3
557	城厢区	3
558	涵江区	3
559	荔城区	3
560	秀屿区	3
561	仙游县	3
562	鲤城区	3
563	丰泽区	3
564	洛江区	3
565	清濛开发区	3
566	泉港区	3
567	石狮市	3
568	晋江市	3
569	南安市	3
570	惠安县	3
571	安溪县	3
572	永春县	3
573	德化县	3
574	金门县	3
575	梅列区	3
576	三元区	3
577	永安市	3
578	明溪县	3
579	清流县	3
580	宁化县	3
581	大田县	3
582	尤溪县	3
583	沙县	3
584	将乐县	3
585	泰宁县	3
586	建宁县	3
587	思明区	3
588	海沧区	3
589	湖里区	3
590	集美区	3
591	同安区	3
592	翔安区	3
593	芗城区	3
594	龙文区	3
595	龙海市	3
596	云霄县	3
597	漳浦县	3
598	诏安县	3
599	长泰县	3
600	东山县	3
601	南靖县	3
602	平和县	3
603	华安县	3
604	皋兰县	3
605	城关区	3
606	七里河区	3
607	西固区	3
608	安宁区	3
609	红古区	3
610	永登县	3
611	榆中县	3
612	白银区	3
613	平川区	3
614	会宁县	3
615	景泰县	3
616	靖远县	3
617	临洮县	3
618	陇西县	3
619	通渭县	3
620	渭源县	3
621	漳县	3
622	岷县	3
623	安定区	3
624	安定区	3
625	合作市	3
626	临潭县	3
627	卓尼县	3
628	舟曲县	3
629	迭部县	3
630	玛曲县	3
631	碌曲县	3
632	夏河县	3
633	嘉峪关市	3
634	金川区	3
635	永昌县	3
636	肃州区	3
637	玉门市	3
638	敦煌市	3
639	金塔县	3
640	瓜州县	3
641	肃北	3
642	阿克塞	3
643	临夏市	3
644	临夏县	3
645	康乐县	3
646	永靖县	3
647	广河县	3
648	和政县	3
649	东乡族自治县	3
650	积石山	3
651	成县	3
652	徽县	3
653	康县	3
654	礼县	3
655	两当县	3
656	文县	3
657	西和县	3
658	宕昌县	3
659	武都区	3
660	崇信县	3
661	华亭县	3
662	静宁县	3
663	灵台县	3
664	崆峒区	3
665	庄浪县	3
666	泾川县	3
667	合水县	3
668	华池县	3
669	环县	3
670	宁县	3
671	庆城县	3
672	西峰区	3
673	镇原县	3
674	正宁县	3
675	甘谷县	3
676	秦安县	3
677	清水县	3
678	秦州区	3
679	麦积区	3
680	武山县	3
681	张家川	3
682	古浪县	3
683	民勤县	3
684	天祝	3
1027	安龙县	3
1028	铜仁市	3
1029	江口县	3
1030	石阡县	3
1031	思南县	3
1032	德江县	3
1033	玉屏	3
1034	印江	3
1035	沿河	3
1036	松桃	3
1037	万山特区	3
1038	红花岗区	3
1039	务川县	3
1040	道真县	3
1041	汇川区	3
1042	赤水市	3
1043	仁怀市	3
1044	遵义县	3
1045	桐梓县	3
1046	绥阳县	3
1047	正安县	3
1048	凤冈县	3
1049	湄潭县	3
1050	余庆县	3
1051	习水县	3
1052	道真	3
1053	务川	3
1054	秀英区	3
1055	龙华区	3
1056	琼山区	3
1057	美兰区	3
1058	市区	3
1059	洋浦开发区	3
1060	那大镇	3
1061	王五镇	3
1062	雅星镇	3
1063	大成镇	3
1064	中和镇	3
1065	峨蔓镇	3
1066	南丰镇	3
1067	白马井镇	3
1068	兰洋镇	3
1069	和庆镇	3
1070	海头镇	3
1071	排浦镇	3
1072	东成镇	3
1073	光村镇	3
1074	木棠镇	3
1075	新州镇	3
1076	三都镇	3
1077	其他	3
1078	长安区	3
1079	桥东区	3
1080	桥西区	3
1081	新华区	3
1082	裕华区	3
1083	井陉矿区	3
1084	高新区	3
1085	辛集市	3
1086	藁城市	3
1087	晋州市	3
1088	新乐市	3
1089	鹿泉市	3
1090	井陉县	3
1091	正定县	3
1092	栾城县	3
1093	行唐县	3
1094	灵寿县	3
1095	高邑县	3
1096	深泽县	3
1097	赞皇县	3
1098	无极县	3
1099	平山县	3
1100	元氏县	3
1101	赵县	3
1102	新市区	3
1103	南市区	3
1104	北市区	3
1105	涿州市	3
1106	定州市	3
1107	安国市	3
1108	高碑店市	3
1109	满城县	3
1110	清苑县	3
1111	涞水县	3
1112	阜平县	3
1113	徐水县	3
1114	定兴县	3
1115	唐县	3
1116	高阳县	3
1117	容城县	3
1118	涞源县	3
1119	望都县	3
1120	安新县	3
1121	易县	3
1122	曲阳县	3
1123	蠡县	3
1124	顺平县	3
1125	博野县	3
1126	雄县	3
1127	运河区	3
1128	新华区	3
1129	泊头市	3
1130	任丘市	3
1131	黄骅市	3
1132	河间市	3
1133	沧县	3
1134	青县	3
1135	东光县	3
1136	海兴县	3
1137	盐山县	3
1138	肃宁县	3
1139	南皮县	3
1140	吴桥县	3
1141	献县	3
1142	孟村	3
1143	双桥区	3
1144	双滦区	3
1145	鹰手营子矿区	3
1146	承德县	3
1147	兴隆县	3
1148	平泉县	3
1149	滦平县	3
1150	隆化县	3
1151	丰宁	3
1152	宽城	3
1153	围场	3
1154	从台区	3
1155	复兴区	3
1156	邯山区	3
1157	峰峰矿区	3
1158	武安市	3
1159	邯郸县	3
1160	临漳县	3
1161	成安县	3
1162	大名县	3
1163	涉县	3
1164	磁县	3
1165	肥乡县	3
1166	永年县	3
1167	邱县	3
1168	鸡泽县	3
1169	广平县	3
1170	馆陶县	3
1171	魏县	3
1172	曲周县	3
1173	桃城区	3
1174	冀州市	3
1175	深州市	3
1176	枣强县	3
1177	武邑县	3
1178	武强县	3
1179	饶阳县	3
1180	安平县	3
1181	故城县	3
1182	景县	3
1183	阜城县	3
1184	安次区	3
1185	广阳区	3
1186	霸州市	3
1187	三河市	3
1188	固安县	3
1189	永清县	3
1190	香河县	3
1191	大城县	3
1192	文安县	3
1193	大厂	3
1194	海港区	3
1195	山海关区	3
1196	北戴河区	3
1197	昌黎县	3
1198	抚宁县	3
1199	卢龙县	3
1200	青龙	3
1201	路北区	3
1202	路南区	3
1203	古冶区	3
1204	开平区	3
1205	丰南区	3
1206	丰润区	3
1207	遵化市	3
1208	迁安市	3
1209	滦县	3
1210	滦南县	3
1211	乐亭县	3
1212	迁西县	3
1213	玉田县	3
1214	唐海县	3
1215	桥东区	3
1216	桥西区	3
1217	南宫市	3
1218	沙河市	3
1219	邢台县	3
1220	临城县	3
1221	内丘县	3
1222	柏乡县	3
1223	隆尧县	3
1224	任县	3
1225	南和县	3
1226	宁晋县	3
1227	巨鹿县	3
1228	新河县	3
1229	广宗县	3
1230	平乡县	3
1231	威县	3
1232	清河县	3
1233	临西县	3
1234	桥西区	3
1235	桥东区	3
1236	宣化区	3
1237	下花园区	3
1238	宣化县	3
1239	张北县	3
1240	康保县	3
1241	沽源县	3
1242	尚义县	3
1243	蔚县	3
1244	阳原县	3
1245	怀安县	3
1246	万全县	3
1247	怀来县	3
1248	涿鹿县	3
1249	赤城县	3
1250	崇礼县	3
1251	金水区	3
1252	邙山区	3
1253	二七区	3
1254	管城区	3
1255	中原区	3
1256	上街区	3
1257	惠济区	3
1258	郑东新区	3
1259	经济技术开发区	3
1260	高新开发区	3
1261	出口加工区	3
1262	巩义市	3
1263	荥阳市	3
1264	新密市	3
1265	新郑市	3
1266	登封市	3
1267	中牟县	3
1268	西工区	3
1269	老城区	3
1270	涧西区	3
1271	瀍河回族区	3
1272	洛龙区	3
1273	吉利区	3
1274	偃师市	3
1275	孟津县	3
1276	新安县	3
1277	栾川县	3
1278	嵩县	3
1279	汝阳县	3
1280	宜阳县	3
1281	洛宁县	3
1282	伊川县	3
1283	鼓楼区	3
1284	龙亭区	3
1285	顺河回族区	3
1286	金明区	3
1287	禹王台区	3
1288	杞县	3
1289	通许县	3
1290	尉氏县	3
1291	开封县	3
1292	兰考县	3
1293	北关区	3
1294	文峰区	3
1295	殷都区	3
1296	龙安区	3
1297	林州市	3
1298	安阳县	3
1299	汤阴县	3
1300	滑县	3
1301	内黄县	3
1302	淇滨区	3
1303	山城区	3
1304	鹤山区	3
1305	浚县	3
1306	淇县	3
1307	济源市	3
1308	解放区	3
1309	中站区	3
1310	马村区	3
1311	山阳区	3
1312	沁阳市	3
1313	孟州市	3
1314	修武县	3
1315	博爱县	3
1316	武陟县	3
1317	温县	3
1318	卧龙区	3
1319	宛城区	3
1320	邓州市	3
1321	南召县	3
1322	方城县	3
1323	西峡县	3
1324	镇平县	3
1325	内乡县	3
1326	淅川县	3
1327	社旗县	3
1328	唐河县	3
1329	新野县	3
1330	桐柏县	3
1331	新华区	3
1332	卫东区	3
1333	湛河区	3
1334	石龙区	3
1335	舞钢市	3
1336	汝州市	3
1337	宝丰县	3
1338	叶县	3
1339	鲁山县	3
1340	郏县	3
1341	湖滨区	3
1342	义马市	3
1343	灵宝市	3
1344	渑池县	3
1345	陕县	3
1346	卢氏县	3
1347	梁园区	3
1348	睢阳区	3
1349	永城市	3
1350	民权县	3
1351	睢县	3
1352	宁陵县	3
1353	虞城县	3
1354	柘城县	3
1355	夏邑县	3
1356	卫滨区	3
1357	红旗区	3
1358	凤泉区	3
1359	牧野区	3
1360	卫辉市	3
1361	辉县市	3
1362	新乡县	3
1363	获嘉县	3
1364	原阳县	3
1365	延津县	3
1366	封丘县	3
1367	长垣县	3
1368	浉河区	3
685	凉州区	3
686	高台县	3
687	临泽县	3
688	民乐县	3
689	山丹县	3
690	肃南	3
691	甘州区	3
692	从化市	3
693	天河区	3
694	东山区	3
695	白云区	3
696	海珠区	3
697	荔湾区	3
698	越秀区	3
699	黄埔区	3
700	番禺区	3
701	花都区	3
702	增城区	3
703	从化区	3
704	市郊	3
705	福田区	3
706	罗湖区	3
707	南山区	3
708	宝安区	3
709	龙岗区	3
710	盐田区	3
711	湘桥区	3
712	潮安县	3
713	饶平县	3
714	南城区	3
715	东城区	3
716	万江区	3
717	莞城区	3
718	石龙镇	3
719	虎门镇	3
720	麻涌镇	3
721	道滘镇	3
722	石碣镇	3
723	沙田镇	3
724	望牛墩镇	3
725	洪梅镇	3
726	茶山镇	3
727	寮步镇	3
728	大岭山镇	3
729	大朗镇	3
730	黄江镇	3
731	樟木头	3
732	凤岗镇	3
733	塘厦镇	3
734	谢岗镇	3
735	厚街镇	3
736	清溪镇	3
737	常平镇	3
738	桥头镇	3
739	横沥镇	3
740	东坑镇	3
741	企石镇	3
742	石排镇	3
743	长安镇	3
744	中堂镇	3
745	高埗镇	3
746	禅城区	3
747	南海区	3
748	顺德区	3
749	三水区	3
750	高明区	3
751	东源县	3
752	和平县	3
753	源城区	3
754	连平县	3
755	龙川县	3
756	紫金县	3
757	惠阳区	3
758	惠城区	3
759	大亚湾	3
760	博罗县	3
761	惠东县	3
762	龙门县	3
763	江海区	3
764	蓬江区	3
765	新会区	3
766	台山市	3
767	开平市	3
768	鹤山市	3
769	恩平市	3
770	榕城区	3
771	普宁市	3
772	揭东县	3
773	揭西县	3
774	惠来县	3
775	茂南区	3
776	茂港区	3
777	高州市	3
778	化州市	3
779	信宜市	3
780	电白县	3
781	梅县	3
782	梅江区	3
783	兴宁市	3
784	大埔县	3
785	丰顺县	3
786	五华县	3
787	平远县	3
788	蕉岭县	3
789	清城区	3
790	英德市	3
791	连州市	3
792	佛冈县	3
793	阳山县	3
794	清新县	3
795	连山	3
796	连南	3
797	南澳县	3
798	潮阳区	3
799	澄海区	3
800	龙湖区	3
801	金平区	3
802	濠江区	3
803	潮南区	3
804	城区	3
805	陆丰市	3
806	海丰县	3
807	陆河县	3
808	曲江县	3
809	浈江区	3
810	武江区	3
811	曲江区	3
812	乐昌市	3
813	南雄市	3
814	始兴县	3
815	仁化县	3
816	翁源县	3
817	新丰县	3
818	乳源	3
819	江城区	3
820	阳春市	3
821	阳西县	3
822	阳东县	3
823	云城区	3
824	罗定市	3
825	新兴县	3
826	郁南县	3
827	云安县	3
828	赤坎区	3
829	霞山区	3
830	坡头区	3
831	麻章区	3
832	廉江市	3
833	雷州市	3
834	吴川市	3
835	遂溪县	3
836	徐闻县	3
837	肇庆市	3
838	高要市	3
839	四会市	3
840	广宁县	3
841	怀集县	3
842	封开县	3
843	德庆县	3
844	石岐街道	3
845	东区街道	3
846	西区街道	3
847	环城街道	3
848	中山港街道	3
849	五桂山街道	3
850	香洲区	3
851	斗门区	3
852	金湾区	3
853	邕宁区	3
854	青秀区	3
855	兴宁区	3
856	良庆区	3
857	西乡塘区	3
858	江南区	3
859	武鸣县	3
860	隆安县	3
861	马山县	3
862	上林县	3
863	宾阳县	3
864	横县	3
865	秀峰区	3
866	叠彩区	3
867	象山区	3
868	七星区	3
869	雁山区	3
870	阳朔县	3
871	临桂县	3
872	灵川县	3
873	全州县	3
874	平乐县	3
875	兴安县	3
876	灌阳县	3
877	荔浦县	3
878	资源县	3
879	永福县	3
880	龙胜	3
881	恭城	3
882	右江区	3
883	凌云县	3
884	平果县	3
885	西林县	3
886	乐业县	3
887	德保县	3
888	田林县	3
889	田阳县	3
890	靖西县	3
891	田东县	3
892	那坡县	3
893	隆林	3
894	海城区	3
895	银海区	3
896	铁山港区	3
897	合浦县	3
898	江州区	3
899	凭祥市	3
900	宁明县	3
901	扶绥县	3
902	龙州县	3
903	大新县	3
904	天等县	3
905	港口区	3
906	防城区	3
907	东兴市	3
908	上思县	3
909	港北区	3
910	港南区	3
911	覃塘区	3
912	桂平市	3
913	平南县	3
914	金城江区	3
915	宜州市	3
916	天峨县	3
917	凤山县	3
918	南丹县	3
919	东兰县	3
920	都安	3
921	罗城	3
922	巴马	3
923	环江	3
924	大化	3
925	八步区	3
926	钟山县	3
927	昭平县	3
928	富川	3
929	兴宾区	3
930	合山市	3
931	象州县	3
932	武宣县	3
933	忻城县	3
934	金秀	3
935	城中区	3
936	鱼峰区	3
937	柳北区	3
938	柳南区	3
939	柳江县	3
940	柳城县	3
941	鹿寨县	3
942	融安县	3
943	融水	3
944	三江	3
945	钦南区	3
946	钦北区	3
947	灵山县	3
948	浦北县	3
949	万秀区	3
950	蝶山区	3
951	长洲区	3
952	岑溪市	3
953	苍梧县	3
954	藤县	3
955	蒙山县	3
956	玉州区	3
957	北流市	3
958	容县	3
959	陆川县	3
960	博白县	3
961	兴业县	3
962	南明区	3
963	云岩区	3
964	花溪区	3
965	乌当区	3
966	白云区	3
967	小河区	3
968	金阳新区	3
969	新天园区	3
970	清镇市	3
971	开阳县	3
972	修文县	3
973	息烽县	3
974	西秀区	3
975	关岭	3
976	镇宁	3
977	紫云	3
978	平坝县	3
979	普定县	3
980	毕节市	3
981	大方县	3
982	黔西县	3
983	金沙县	3
984	织金县	3
985	纳雍县	3
986	赫章县	3
987	威宁	3
988	钟山区	3
989	六枝特区	3
990	水城县	3
991	盘县	3
992	凯里市	3
993	黄平县	3
994	施秉县	3
995	三穗县	3
996	镇远县	3
997	岑巩县	3
998	天柱县	3
999	锦屏县	3
1000	剑河县	3
1001	台江县	3
1002	黎平县	3
1003	榕江县	3
1004	从江县	3
1005	雷山县	3
1006	麻江县	3
1007	丹寨县	3
1008	都匀市	3
1009	福泉市	3
1010	荔波县	3
1011	贵定县	3
1012	瓮安县	3
1013	独山县	3
1014	平塘县	3
1015	罗甸县	3
1016	长顺县	3
1017	龙里县	3
1018	惠水县	3
1019	三都	3
1020	兴义市	3
1021	兴仁县	3
1022	普安县	3
1023	晴隆县	3
1024	贞丰县	3
1025	望谟县	3
1026	册亨县	3
2733	都江堰市	3
2734	彭州市	3
2735	邛崃市	3
2736	崇州市	3
2737	金堂县	3
2738	双流县	3
2739	郫县	3
2740	大邑县	3
2741	蒲江县	3
2742	新津县	3
2743	都江堰市	3
2744	彭州市	3
2745	邛崃市	3
2746	崇州市	3
2747	金堂县	3
2748	双流县	3
2749	郫县	3
2750	大邑县	3
2751	蒲江县	3
2752	新津县	3
2753	涪城区	3
2754	游仙区	3
2755	江油市	3
2756	盐亭县	3
2757	三台县	3
2758	平武县	3
2759	安县	3
2760	梓潼县	3
2761	北川县	3
2762	马尔康县	3
2763	汶川县	3
2764	理县	3
2765	茂县	3
2766	松潘县	3
2767	九寨沟县	3
2768	金川县	3
2769	小金县	3
2770	黑水县	3
2771	壤塘县	3
2772	阿坝县	3
2773	若尔盖县	3
2774	红原县	3
2775	巴州区	3
2776	通江县	3
2777	南江县	3
2778	平昌县	3
2779	通川区	3
2780	万源市	3
2781	达县	3
2782	宣汉县	3
2783	开江县	3
2784	大竹县	3
2785	渠县	3
2786	旌阳区	3
2787	广汉市	3
2788	什邡市	3
2789	绵竹市	3
2790	罗江县	3
2791	中江县	3
2792	康定县	3
2793	丹巴县	3
2794	泸定县	3
2795	炉霍县	3
2796	九龙县	3
2797	甘孜县	3
2798	雅江县	3
2799	新龙县	3
2800	道孚县	3
2801	白玉县	3
2802	理塘县	3
2803	德格县	3
2804	乡城县	3
2805	石渠县	3
2806	稻城县	3
2807	色达县	3
2808	巴塘县	3
2809	得荣县	3
2810	广安区	3
2811	华蓥市	3
2812	岳池县	3
2813	武胜县	3
2814	邻水县	3
2815	利州区	3
2816	元坝区	3
2817	朝天区	3
2818	旺苍县	3
2819	青川县	3
2820	剑阁县	3
2821	苍溪县	3
2822	峨眉山市	3
2823	乐山市	3
2824	犍为县	3
2825	井研县	3
2826	夹江县	3
2827	沐川县	3
2828	峨边	3
2829	马边	3
2830	西昌市	3
2831	盐源县	3
2832	德昌县	3
2833	会理县	3
2834	会东县	3
2835	宁南县	3
2836	普格县	3
2837	布拖县	3
2838	金阳县	3
2839	昭觉县	3
2840	喜德县	3
2841	冕宁县	3
2842	越西县	3
2843	甘洛县	3
2844	美姑县	3
2845	雷波县	3
2846	木里	3
2847	东坡区	3
2848	仁寿县	3
2849	彭山县	3
2850	洪雅县	3
